Time,Flow,LeaveTemp,EnterTemp,kWE
2022-03-23 04:59,13.62634468,5.799995422,10.1000061,35.31645522
2022-03-23 04:54,14.13916397,5.469993591,10.3500061,37.72151802
2022-03-23 04:49,13.68128967,5.719993591,10.45001221,35.50632815
2022-03-23 04:44,14.10253525,5.679992676,10.30000305,36.8987337
2022-03-23 04:39,14.52377892,5.66999054,10.30000305,35.56962073
2022-03-23 04:34,14.50546455,5.679992676,10.3500061,37.08860663
2022-03-23 04:29,13.93770027,5.849990845,10.45001221,35.88607643
2022-03-23 04:24,14.24905396,5.679992676,10.40000916,36.83544352
2022-03-23 04:19,14.48715019,5.819992065,10.3500061,34.93670934
2022-03-23 04:14,13.919384,5.649993896,10.25,34.17721519
2022-03-23 04:09,14.46883392,5.769996643,10.20001221,36.45569523
2022-03-23 04:04,14.59704018,5.66999054,10.25,38.54430235
2022-03-23 03:59,13.93770027,5.749992371,10.45001221,38.1012663
2022-03-23 03:54,14.12084961,5.579994202,10.45001221,35.94936661
2022-03-23 03:49,14.10253525,5.569992065,10.55000305,36.582278
2022-03-23 03:44,14.28568459,5.679992676,10.45001221,37.84810078
2022-03-23 03:39,14.21242523,5.679992676,10.45001221,37.72151802
2022-03-23 03:34,13.79117966,5.77999115,10.30000305,38.7341777
2022-03-23 03:29,13.47982407,5.799995422,10.5,37.34177215
2022-03-23 03:24,14.06590462,5.679992676,10.5,36.2658223
2022-03-23 03:19,14.28568459,5.749992371,10.55000305,40.00000048
2022-03-23 03:14,13.82781029,5.749992371,10.6000061,37.59493526
2022-03-23 03:09,14.12084961,5.749992371,10.25,37.65822785
2022-03-23 03:04,14.92671013,5.519996643,9.75,39.11392357
2022-03-23 02:59,14.30399895,5.719993591,10.45001221,37.65822785
2022-03-23 02:54,14.35894394,5.519996643,10.65000916,40.25316359
2022-03-23 02:49,13.93770027,5.949996948,10.75,37.27847956
2022-03-23 02:44,14.50546455,5.699996948,10.30000305,34.68354382
2022-03-23 02:39,14.12084961,5.579994202,10.1000061,36.51898782
2022-03-23 02:34,13.88275528,5.579994202,10.45001221,35.94936661
2022-03-23 02:29,13.99264526,5.679992676,10.6000061,38.54430235
2022-03-23 02:24,14.04759026,5.649993896,10.65000916,39.24050633
2022-03-23 02:19,13.64465904,5.649993896,10.15000916,35.69620108
2022-03-23 02:14,13.7179203,5.599990845,10.3500061,35.75949367
2022-03-23 02:09,13.99264526,5.479995728,10.45001221,36.8987337
2022-03-23 02:04,13.73623466,5.499992371,10.55000305,37.40506232
2022-03-23 01:59,14.65198517,5.799995422,10.6000061,37.65822785
2022-03-23 01:54,13.18678474,5.829994202,10.05000305,36.20253213
2022-03-23 01:49,13.99264526,5.729995728,10.45001221,36.39240506
2022-03-23 01:44,13.919384,5.519996643,10.55000305,36.32911247
2022-03-23 01:39,14.19410896,5.599990845,10.6000061,37.40506232
2022-03-23 01:34,14.08421898,5.619995117,10.65000916,37.72151802
2022-03-23 01:29,14.28568459,5.449996948,10.3500061,37.21518939
2022-03-23 01:24,13.84612465,5.649993896,10.5,38.60759494
2022-03-23 01:19,13.95601463,5.679992676,10.5,37.02531646
2022-03-23 01:14,14.02927399,5.719993591,10.5,37.59493526
2022-03-23 01:09,14.01095963,5.569992065,10.6000061,38.92405063
2022-03-23 01:04,14.15748024,5.679992676,10.70001221,40.18987342
2022-03-23 00:59,14.12084961,5.749992371,10.6000061,39.24050633
2022-03-23 00:54,14.12084961,5.77999115,10.25,35.18987245
2022-03-23 00:49,13.919384,5.599990845,10.1000061,35.44303797
2022-03-23 00:44,14.01095963,5.579994202,10.3500061,38.29113924
2022-03-23 00:39,13.99264526,5.699996948,10.5,39.43037927
2022-03-23 00:34,14.1757946,5.749992371,10.6000061,37.65822785
2022-03-23 00:29,14.06590462,5.66999054,10.5,38.417722
2022-03-23 00:24,13.66297531,5.629997253,10.30000305,37.53164509
2022-03-23 00:19,14.02927399,5.729995728,10.45001221,36.51898782
2022-03-23 00:14,13.919384,5.749992371,10.5,37.84810078
2022-03-23 00:09,14.08421898,5.729995728,10.70001221,39.68354478
2022-03-23 00:04,14.15748024,5.699996948,10.45001221,39.49366944
2022-03-22 23:59,14.06590462,5.749992371,10.45001221,36.582278
2022-03-22 23:54,13.93770027,5.66999054,10.1000061,34.55696106
2022-03-22 23:49,13.90106964,5.629997253,10.45001221,36.96202387
2022-03-22 23:44,14.02927399,5.649993896,10.65000916,40.37974635
2022-03-22 23:39,13.919384,5.699996948,10.6000061,41.13924051
2022-03-22 23:34,14.15748024,5.949996948,10.8500061,36.45569523
2022-03-22 23:29,14.34062958,5.729995728,10.1000061,34.62025365
2022-03-22 23:24,14.08421898,5.519996643,10.20001221,37.84810078
2022-03-22 23:19,13.93770027,5.649993896,10.55000305,38.35442941
2022-03-22 23:14,14.13916397,5.799995422,10.75,37.84810078
2022-03-22 23:09,13.88275528,5.499992371,10.45001221,36.2658223
