Time,LeaveTemp,EnterTemp,Flow,kWE
2022-02-23 08:54,6.599990845,10.40000916,18.71615147,31.77214997
2022-02-23 08:49,6.269996643,10.40000916,16.41167655,31.39240409
2022-02-23 08:44,6.009994507,10.30000305,15.57707286,34.24050536
2022-02-23 08:39,5.999992371,10.20001221,15.11528262,31.01265823
2022-02-23 08:34,6.409996033,10.15000916,17.67635111,33.03797516
2022-02-23 08:29,5.899993896,10.1000061,15.05848562,36.13923954
2022-02-23 08:24,5.709991455,10.15000916,14.40575648,36.96202387
2022-02-23 08:19,5.999992371,10.3500061,17.06301366,34.36708813
2022-02-23 08:14,5.909996033,10.05000305,15.96852008,32.40506377
2022-02-23 08:09,6.199996948,10.45001221,16.34137049,31.45569427
2022-02-23 08:04,6.489990234,10.3500061,17.86877293,30.88607547
2022-02-23 07:59,5.909996033,10.20001221,16.52279431,33.92404966
2022-02-23 07:54,5.939994812,9.900009155,17.83942817,36.32911247
2022-02-23 07:49,5.599990845,10.1000061,13.25903752,37.02531646
2022-02-23 07:44,5.909996033,10.45001221,13.45762871,33.92404966
2022-02-23 07:39,6.189994812,10.6000061,14.44965697,34.49367089
2022-02-23 07:34,6.459991455,10.45001221,17.16693327,33.03797516
2022-02-23 07:29,5.699996948,9.900009155,15.39943246,36.64556817
2022-02-23 07:24,5.88999176,10.3500061,14.87628596,32.53164412
2022-02-23 07:19,6.379997253,10.5,15.40884576,35.82278384
2022-02-23 07:14,6.019996643,10.15000916,14.215748,33.92404966
2022-02-23 07:09,6.409996033,10.3500061,14.11381975,29.17721422
2022-02-23 07:04,6.979995728,10.75,17.3458145,25.06329017
2022-02-23 06:59,7.609992981,10.3500061,22.26642856,18.16455624
2022-02-23 06:54,6.119995117,10.30000305,16.61505794,34.74683399
2022-02-23 06:49,6.069992065,10.5,14.49218111,34.81012658
2022-02-23 06:44,6.409996033,10.55000305,17.236778,33.03797516
2022-02-23 06:39,6.259994507,10.3500061,16.39712691,31.39240409
2022-02-23 06:34,6.209991455,10.55000305,16.0575003,33.79746691
2022-02-23 06:29,5.819992065,10.15000916,16.3701559,35.56962073
2022-02-23 06:24,6.259994507,10.65000916,15.1134914,32.97468258
2022-02-23 06:19,6.189994812,10.5,16.88915897,29.36708716
2022-02-23 06:14,6.189994812,10.55000305,16.96916064,30.82278288
2022-02-23 06:09,6.489990234,10.45001221,18.442076,29.05063146
2022-02-23 06:04,6.689994812,10.65000916,16.63406138,29.81012561
2022-02-23 05:59,5.91999054,9.900009155,17.09014446,31.39240409
2022-02-23 05:54,5.979995728,10.20001221,14.70432787,30.82278288
2022-02-23 05:49,5.729995728,10.15000916,15.98284541,31.39240409
2022-02-23 05:44,6.109992981,10.55000305,16.50214495,30.82278288
2022-02-23 05:39,5.959991455,10.40000916,19.78103875,29.05063146
2022-02-23 05:34,5.399993896,10.20001221,18.9438418,40.18987342
2022-02-23 05:29,6.38999176,11.40000916,13.29079459,34.62025365
2022-02-23 05:24,6.88999176,10.75,17.93063802,34.05063243
2022-02-23 05:19,6.589996338,10.30000305,19.42755847,29.43037975
2022-02-23 05:14,6.909996033,10.8500061,16.17334709,32.02531549
2022-02-23 05:09,6.77999115,11.20001221,14.14695362,30.69620253
2022-02-23 05:04,6.38999176,9.650009155,16.25245731,22.27847908
2022-02-23 04:59,5.909996033,9.550003052,14.68695534,22.15189873
2022-02-23 04:54,5.899993896,9.25,15.3884235,22.65822737
2022-02-23 04:49,5.899993896,9.5,15.31421429,22.59493478
2022-02-23 04:44,6.499992371,9.75,16.08220936,21.96202339
2022-02-23 04:39,6.189994812,9.5,15.28597565,21.77215045
2022-02-23 04:34,5.989990234,9.350006104,16.40803706,21.51898734
2022-02-23 04:29,6.299995422,9.400009155,16.39841839,21.96202339
2022-02-23 04:24,6.089996338,9.25,15.86052964,22.65822737
2022-02-23 04:19,5.999992371,9.5,15.27442971,21.96202339
2022-02-23 04:14,6.479995728,9.75,18.17343425,23.03797323
2022-02-23 04:09,6.309997559,9.5,17.1328828,24.55696154
2022-02-23 04:04,6.099990845,9.600006104,13.91061102,23.79746739
2022-02-23 03:59,5.999992371,9.300003052,15.04298306,22.34177167
2022-02-23 03:54,5.819992065,9.200012207,15.32238684,23.98734032
2022-02-23 03:49,5.999992371,9.5,16.29727099,23.60759446
