"","farm.id","type","size","long","lat","state"
"107",117,"Breeding",18,6269749.60456536,450922.25941236,0
"108",109,"Breeding",24,6275663.22964301,449762.550634396,0
"109",93,"Dairy",1879,6160108.00341267,538431.763266503,0
"110",106,"Fattening",271,6264359.87811985,428530.048127777,0
"111",94,"Breeding",7,6175507.18744729,537913.746088333,1
"112",26,"Fattening",50,6244290.25805777,435101.117015055,0
"113",49,"Dairy",44,6418025.82732285,417769.194760407,0
"114",107,"Breeding",12,6262006.1899155,454769.237563848,0
"115",33,"Small farm",3,6245930.91107228,470262.395764038,0
"116",25,"Fattening",2080,6242054.66757715,436050.708084542,0
"117",62,"Complete cycle",287,6495158.23538336,420299.317474858,0
"118",59,"Fattening",587,6472232.56437845,407484.874473774,0
"119",118,"Fattening",20,6268972.03671524,456438.709938237,0
"120",101,"Fattening",84,6266006.00599669,461244.906423315,0
