"Origin","Dest","Date","breeding.cows","steers","heifers","calves","batch.size"
111,114,2011-01-25,0,0,0,10,10
67,60,2010-01-13,28,0,0,28,56
70,69,2009-09-21,0,34,0,0,34
70,50,2011-12-16,14,10,8,0,33
70,56,2011-02-05,30,0,0,15,45
70,56,2011-01-31,25,0,0,3,28
70,56,2010-12-21,13,1,7,31,55
105,29,2011-04-04,0,0,0,7,7
105,115,2008-07-10,0,0,0,8,8
105,120,2010-01-17,0,3,0,2,5
119,104,2010-03-24,2,0,0,1,3
119,88,2010-04-04,0,0,0,25,25
95,39,2013-04-10,0,0,47,0,47
95,39,2013-04-10,0,0,5,0,5
95,114,2010-12-07,11,0,0,0,11
95,102,2010-07-12,0,0,0,14,14
95,102,2010-06-06,0,0,0,30,30
113,111,2012-12-19,0,0,0,10,11
113,111,2010-11-04,0,0,0,3,3
113,111,2010-11-04,1,0,0,3,4
113,111,2009-08-27,5,0,0,4,9
113,111,2008-08-26,2,0,0,3,5
113,99,2012-07-07,0,0,0,3,3
113,107,2012-02-01,0,0,0,1,1
113,107,2011-05-21,1,0,0,0,1
113,107,2009-12-14,1,0,0,0,1
113,101,2011-03-06,0,0,0,0,2
91,45,2011-10-07,0,0,0,0,1
91,45,2010-09-30,0,0,0,0,2
91,55,2009-10-08,0,0,0,0,2
91,76,2010-09-30,0,0,0,0,1
115,29,2010-08-31,0,0,0,62,62
115,114,2012-06-07,3,0,0,6,9
116,29,2011-02-05,0,0,7,14,21
116,29,2010-10-19,0,0,11,14,25
116,35,2010-03-27,0,0,0,10,10
116,35,2010-11-27,0,0,0,6,6
116,35,2010-11-27,0,0,0,6,6
116,35,2010-02-27,0,0,0,10,10
116,35,2009-06-01,0,0,0,9,9
116,35,2009-10-20,0,0,0,10,10
116,113,2012-07-21,0,0,0,6,6
116,104,2008-09-22,0,0,0,10,10
116,34,2012-09-14,0,0,0,5,5
116,32,2012-04-21,0,0,0,5,5
116,32,2012-02-23,0,0,0,10,10
116,32,2012-02-04,0,0,0,10,10
116,112,2012-05-16,0,0,0,4,4
116,103,2010-07-04,0,0,0,3,3
116,21,2011-03-08,0,0,0,20,20
116,120,2012-03-12,0,0,0,7,7
116,118,2010-05-10,0,0,0,8,9
116,101,2011-06-12,6,0,0,0,6
96,88,2011-12-15,0,0,0,19,19
96,120,2013-03-18,0,0,0,7,7
71,55,2009-11-07,0,0,170,0,170
76,55,2012-10-14,0,0,0,0,1
76,91,2012-09-10,0,0,0,1,1
76,91,2011-09-22,0,0,0,1,1
76,91,2009-09-14,0,0,0,0,2
79,88,2012-02-22,0,0,15,0,15
78,55,2012-05-23,23,0,0,0,23
78,55,2012-05-23,2,0,0,0,2
97,88,2011-12-15,0,0,0,5,5
85,88,2009-09-29,0,0,0,9,9
81,39,2013-03-06,0,0,21,0,21
81,39,2013-03-06,0,0,32,0,32
81,39,2013-03-06,0,0,30,0,30
81,39,2013-03-06,0,0,33,0,33
81,39,2013-03-07,0,0,3,0,3
81,88,2011-06-21,0,0,2,0,2
81,25,2008-12-13,0,50,0,0,50
81,25,2008-12-13,0,38,0,0,38
81,25,2008-12-13,0,45,0,0,45
81,25,2008-08-13,0,48,0,0,48
69,70,2010-04-05,9,0,0,7,16
66,55,2010-06-21,27,0,0,6,33
66,55,2009-04-24,40,0,0,0,40
66,55,2009-04-24,40,0,0,0,40
66,53,2012-07-11,28,0,0,0,28
66,53,2012-07-11,28,0,0,0,28
66,53,2010-06-21,29,0,0,0,29
66,68,2011-09-21,0,0,0,1,1
66,68,2010-03-16,39,0,0,39,78
66,68,2010-06-28,0,0,0,7,7
66,68,2010-03-13,31,12,46,4,93
66,68,2010-03-13,0,0,45,0,45
43,88,2009-08-18,0,0,9,0,9
114,115,2011-09-04,0,0,0,4,4
114,115,2011-08-01,0,0,2,0,2
114,115,2011-08-22,0,0,1,0,1
114,115,2011-01-11,0,0,1,0,1
114,115,2011-08-01,0,0,0,7,7
114,115,2011-04-20,0,0,1,0,1
114,115,2011-04-02,0,0,3,0,3
114,115,2011-01-01,0,0,4,0,4
114,115,2010-07-21,0,0,3,0,3
114,115,2010-02-02,0,0,0,6,6
114,115,2010-12-07,0,0,2,0,2
114,115,2010-10-19,0,0,2,0,2
114,115,2010-09-01,0,0,0,6,6
114,115,2010-06-19,0,0,0,8,8
114,115,2008-09-04,0,0,7,0,7
114,102,2011-08-27,0,0,0,1,1
73,36,2010-04-18,0,0,29,0,29
73,36,2010-04-18,0,0,26,0,26
73,75,2009-09-10,19,0,0,0,19
73,75,2009-09-10,69,0,0,0,69
73,88,2009-09-20,0,0,78,0,78
36,25,2008-12-10,0,49,0,0,49
27,25,2009-03-08,0,0,0,15,15
24,115,2011-08-16,0,0,0,10,10
24,115,2011-08-06,0,0,0,7,7
24,88,2009-09-10,0,0,0,5,5
24,88,2009-09-10,0,0,0,5,5
32,35,2009-10-20,0,0,0,2,2
22,21,2012-12-26,0,3,0,6,9
22,21,2009-09-16,0,0,0,2,2
22,16,2009-10-22,2,0,0,0,2
7,13,2012-09-30,10,0,0,0,10
31,10,2012-09-02,0,0,0,6,6
31,10,2012-05-14,0,0,0,5,5
31,10,2012-07-04,0,0,0,6,6
31,10,2012-04-09,0,0,0,5,5
31,10,2012-03-26,0,0,0,6,6
31,10,2012-01-09,0,0,0,6,6
31,10,2011-12-06,0,0,0,8,8
31,10,2011-09-03,0,0,0,10,10
31,88,2009-08-02,0,0,16,7,23
42,88,2009-08-17,0,0,0,2,2
52,55,2010-04-18,29,0,0,0,29
52,68,2010-09-14,0,0,19,29,48
99,113,2012-06-21,3,0,0,0,3
99,113,2009-03-10,2,0,1,3,6
99,114,2012-03-07,0,0,6,4,10
87,88,2009-09-29,0,0,0,10,10
90,87,2010-03-16,0,0,0,1,1
90,88,2009-09-29,0,0,10,0,10
84,87,2009-11-16,2,0,2,0,4
84,87,2009-03-28,0,0,1,0,1
84,88,2009-08-16,0,0,1,0,1
84,88,2009-09-16,0,0,3,2,5
92,88,2011-06-28,0,0,0,4,4
92,88,2009-11-02,0,0,0,19,19
92,88,2009-06-29,0,0,0,57,57
112,6,2011-12-27,0,0,0,16,16
75,73,2010-08-07,0,0,0,84,84
98,115,2012-01-29,0,0,0,5,5
98,115,2012-06-03,0,0,0,2,2
98,115,2011-10-30,0,0,0,1,1
98,100,2011-08-11,0,25,0,4,28
98,100,2011-07-04,0,0,0,2,2
98,107,2011-11-30,0,0,4,0,4
98,107,2009-12-10,2,0,1,0,3
108,111,2010-03-13,0,0,0,7,7
108,105,2011-09-28,0,0,0,5,5
108,105,2010-11-08,0,0,0,10,10
108,116,2011-01-13,0,0,0,4,4
89,88,2009-09-07,0,0,0,1,1
88,6,2013-03-16,0,0,0,53,53
88,39,2013-04-04,28,0,0,0,28
88,86,2011-06-14,0,0,0,110,110
88,92,2011-06-28,0,0,0,2,2
88,92,2009-11-02,0,0,9,1,10
88,83,2013-06-15,0,0,0,10,10
88,94,2013-06-15,0,0,0,5,5
56,55,2011-12-27,0,0,0,0,1
68,55,2012-11-06,0,0,41,0,41
68,55,2012-11-06,0,0,16,0,16
68,55,2010-09-15,0,0,33,0,33
68,55,2010-03-25,4,0,0,39,43
68,55,2010-03-25,35,0,0,0,35
68,53,2012-05-31,0,0,25,0,25
68,53,2012-12-08,0,3,0,0,3
68,53,2012-11-07,0,22,0,0,22
68,53,2012-12-03,0,10,0,0,10
68,53,2012-05-31,0,0,8,0,8
68,53,2011-04-14,0,4,19,0,23
68,53,2011-06-14,0,11,18,0,29
68,53,2011-04-14,0,0,7,0,7
68,53,2010-09-15,25,6,0,2,33
68,53,2010-11-03,0,0,31,0,31
68,53,2010-04-05,2,5,33,0,40
68,53,2010-11-03,0,1,5,0,6
102,111,2012-05-05,0,0,0,13,13
102,115,2011-07-31,2,0,0,0,2
102,110,2013-01-13,0,0,0,5,5
102,99,2010-07-28,0,0,0,10,10
102,100,2012-12-25,0,0,0,10,10
102,98,2010-08-02,0,0,0,4,4
102,82,2012-04-15,0,0,0,6,6
102,117,2013-01-13,0,0,0,3,3
102,109,2011-04-05,0,0,0,8,8
102,107,2010-07-28,0,0,0,5,5
80,79,2010-08-22,0,0,0,4,4
109,114,2011-04-10,0,0,0,19,19
109,114,2010-06-01,9,0,7,3,20
93,39,2013-03-18,27,0,0,0,27
93,39,2013-03-18,30,0,0,0,30
106,105,2012-06-10,0,0,0,3,3
106,26,2012-06-26,4,0,22,0,26
106,26,2012-01-03,2,0,0,0,2
26,106,2011-06-24,2,0,0,0,2
107,115,2012-01-18,0,0,2,0,2
107,114,2012-01-18,4,0,0,0,4
33,28,2013-02-05,0,0,0,27,27
