place,lon,lat
Hobart,147.3272,-42.8821
Launceston,147.1441,-41.4332
Devonport,146.3452,-41.1771
Burnie,145.9052,-41.0529
Ulverstone,146.1872,-41.1703
Gagebrook,147.2706,-42.7483
Bridgewater,147.2442,-42.7347
Somerset,145.7876,-41.0574
Smithton,145.1206,-40.8578
Penguin,146.0708,-41.1167
Longford,147.1218,-41.5958
Latrobe,146.4059,-41.2443
Kingston,147.3083,-42.9769
Wynyard,145.7167,-41.0001
